numrooms,sqauremeters,levels_on_building,level,price,distrcit,microdistrict,street,builtyear,ceilinghight,seller,bathroomtype,repaired
3,88.0,10,9,36850000,алатауский,мкр нуркент (алгабас-1),nan,2018,2.8,Хозяин недвижимости,2 с/у и более,nan
4,144.0,3,3,88000000,ауэзовский,мкр жетысу-2 2a,nan,2006,2.8,Хозяин недвижимости,2 с/у и более,nan
4,140.0,21,14,170000000,бостандыкский,nan,розыбакиева 8,2021,3.0,Специалист,2 с/у и более,nan
3,121.22,9,4,115000000,бостандыкский,мкр алмагуль 245,nan,2023,3.0,Хозяин недвижимости,2 с/у и более,черновая отделка
5,240.0,6,3,268800000,бостандыкский,nan,рахмадиева,2012,3.0,Компания,2 с/у и более,nan
4,131.6,10,6,110000000,алмалинский,nan,досмухамедова 101 — шевченко,2014,nan,Специалист,2 с/у и более,nan
3,84.0,12,12,44800000,наурызбайский,nan,абишева 36/6,2021,2.7,Хозяин недвижимости,2 с/у и более,дргуой ремонт
1,60.0,9,2,40000000,алмалинский,nan,богенбай батыра 279 — шакена айманова,2010,3.0,Специалист,совмещенный,nan
1,32.0,12,3,29500000,бостандыкский,nan,торайгырова — мустафина,2019,2.9,Специалист,совмещенный,nan
2,52.0,19,12,48900000,бостандыкский,nan,аль-фараби — проспект сакена сейфуллина,2023,3.0,Специалист,nan,черновая отделка
3,110.0,16,4,94000000,бостандыкский,nan,аль-фараби,2013,3.0,Специалист,nan,свежий ремонт
2,43.5,15,7,54500000,алмалинский,nan,манаса 109а,2019,3.0,Специалист,nan,nan
3,76.0,9,2,55000000,медеуский,мкр думан-2,nan,2021,2.7,Компания,2 с/у и более,nan
1,51.0,10,8,21500000,турксибский,nan,сейфуллина,2022,2.7,Специалист,совмещенный,nan
2,58.0,9,8,36500000,ауэзовский,мкр жетысу-2 26,nan,1993,nan,Компания,раздельный,nan
3,128.0,12,4,78000000,бостандыкский,nan,рыскулбекова 28/8,2017,nan,Крыша Агент,2 с/у и более,nan
3,110.0,12,5,175000000,бостандыкский,nan,розыбакиева,2021,3.0,Специалист,совмещенный,дизайнерский ремонт
2,55.0,12,10,43500000,бостандыкский,nan,тлендиева — сатпаева,2019,2.95,Специалист,совмещенный,nan
3,98.26,9,4,38000000,наурызбайский,мкр шугыла,nan,2022,2.7,Хозяин недвижимости,nan,черновая отделка
2,46.0,nan,nan,26000000,ауэзовский,мкр №7 19а,nan,1968,2.7,Хозяин недвижимости,совмещенный,капитальный ремонт
2,57.0,12,2,39000000,алатауский,мкр акбулак,nan,2019,2.7,Хозяин недвижимости,раздельный,свежий ремонт
1,64.0,16,9,28000000,наурызбайский,мкр шугыла,nan,2012,2.8,Хозяин недвижимости,совмещенный,nan
3,78.0,13,13,57400000,жетысуский,nan,просп. назарбаева 28,2022,2.75,Хозяин недвижимости,совмещенный,nan
4,94.0,4,4,67400000,бостандыкский,nan,масанчи 100,1964,2.8,Специалист,раздельный,nan
3,75.0,17,11,83900000,nan,nan,розыбакиева 320,2022,3.0,Специалист,раздельный,дизайнерский ремонт
2,49.2,5,2,55000000,медеуский,мкр самал-1 89/2,nan,1973,2.9,Хозяин недвижимости,раздельный,nan
3,91.0,nan,8,85000000,ауэзовский,nan,навои 68/2 — жандосова,2022,3.15,Хозяин недвижимости,nan,дизайнерский ремонт
2,49.0,4,3,39500000,бостандыкский,мкр коктем-2 — казгу,nan,1972,2.0,Хозяин недвижимости,совмещенный,дргуой ремонт
3,87.0,13,7,63500000,алмалинский,nan,макатаева 131 — муратбаева,2019,nan,Хозяин недвижимости,2 с/у и более,дргуой ремонт
1,31.0,13,6,26000000,бостандыкский,nan,журавлева 26,2023,3.3,Хозяин недвижимости,совмещенный,nan
2,44.0,5,3,26000000,ауэзовский,мкр №4 27 — абая,nan,1973,2.8,Специалист,совмещенный,nan
2,90.1,12,3,75000000,алмалинский,nan,варламова 33,2010,3.0,Хозяин недвижимости,раздельный,nan
1,39.0,16,7,29000000,бостандыкский,nan,тлендиева — сатпаева,2019,2.95,Специалист,совмещенный,черновая отделка
3,91.7,16,8,61500000,ауэзовский,nan,навои 9/1,2023,2.7,Хозяин недвижимости,раздельный,черновая отделка
3,70.0,16,10,66500000,бостандыкский,nan,сатпаева 90/43а,2019,2.85,Специалист,совмещенный,nan
2,47.0,13,7,42000000,алмалинский,nan,кабанбай батыра 252,2023,2.9,Хозяин недвижимости,совмещенный,капитальный ремонт
1,45.0,12,8,28000000,алатауский,nan,дарабоз — алматы арена на против,2021,3.0,Хозяин недвижимости,совмещенный,nan
3,73.2,9,7,45000000,ауэзовский,мкр аксай-1а 31 — яссауи- ниже толе би,nan,2006,2.8,Хозяин недвижимости,раздельный,nan
3,86.0,5,4,35000000,турксибский,мкр жулдыз-2 41,nan,1992,nan,Крыша Агент,раздельный,требует ремонта
3,113.0,12,12,125000000,бостандыкский,nan,сейфуллина 574/1 к2,2023,3.3,Специалист,2 с/у и более,nan
3,122.9,6,2,121000000,медеуский,мкр горный гигант,nan,2015,3.8,Специалист,2 с/у и более,дизайнерский ремонт
2,54.0,5,4,35000000,алмалинский,nan,богенбай батыра 293 — гагарина,1978,2.9,Компания,совмещенный,nan
1,43.0,10,3,25000000,турксибский,nan,сейфуллина,2021,2.7,Специалист,совмещенный,nan
3,82.6,16,14,54500000,бостандыкский,nan,сатпаева 90/43а,2019,2.85,Специалист,nan,требует ремонта
3,75.0,9,5,57000000,бостандыкский,nan,сейфуллина 534 — абая,1993,2.8,Специалист,раздельный,nan
1,48.4,9,5,43560000,бостандыкский,nan,сакена сейфуллина 597/7 — сатпаева,2021,3.0,Компания,nan,nan
1,42.0,5,5,20500000,ауэзовский,nan,касыма шарипова,1991,2.9,Специалист,совмещенный,nan
3,115.6,9,5,83000000,бостандыкский,nan,сейфуллина 597/7 — сатпаева,2021,3.0,Компания,2 с/у и более,nan
2,60.0,9,2,47000000,бостандыкский,nan,сейфуллина 597/7 — сатпаева,2021,3.0,Компания,раздельный,nan
3,117.2,9,7,92295000,бостандыкский,nan,проспект сакена сейфуллина 597/7 — сатпаева,2021,3.2,Компания,2 с/у и более,nan
1,32.0,10,8,26500000,алмалинский,nan,варламова — карасай батыра,2022,2.9,Специалист,совмещенный,nan
5,236.4,10,9,223398000,бостандыкский,nan,сейфуллина 597/7 — сатпаева,2021,4.5,Компания,nan,nan
4,73.2,5,5,47000000,алмалинский,nan,наурызбай батыра 24 — наурызбай батыра/макатаева,1974,2.8,Хозяин недвижимости,раздельный,требует ремонта
1,21.0,5,3,15999000,бостандыкский,nan,жандосова — розыбакиева,1989,nan,Специалист,nan,дргуой ремонт
3,113.7,12,12,85275000,бостандыкский,nan,абая 130 — хусаинова,2023,2.7,Специалист,2 с/у и более,предчистовая отделка
2,43.0,4,3,29500000,ауэзовский,мкр №8 26,nan,1966,2.6,Хозяин недвижимости,совмещенный,nan
1,22.0,4,2,13999000,ауэзовский,nan,жандосова — берегового (универ нархоз),1978,nan,Специалист,nan,дргуой ремонт
4,137.8,9,5,99216000,бостандыкский,nan,проспект сакена сейфуллина 597/7 — сатпаева,2021,3.2,Компания,2 с/у и более,nan
2,58.0,10,9,33000000,алмалинский,мкр тастак-2,nan,2000,nan,Хозяин недвижимости,раздельный,nan
3,80.0,22,10,68000000,nan,nan,тлендиева 223 — малая абая,2012,2.8,Хозяин недвижимости,раздельный,nan
2,60.0,30,23,79000000,бостандыкский,nan,аль-фараби 9 — жк orion,2019,3.0,Специалист,nan,nan
4,88.0,10,2,69000000,алмалинский,nan,айтеке би — нурмакова,1994,2.85,Специалист,раздельный,nan
1,33.04,3,3,27500000,наурызбайский,nan,13-я улица,2023,3.2,Хозяин недвижимости,совмещенный,дргуой ремонт
2,76.2,9,6,64739520,бостандыкский,nan,сакена сейфуллина 597/7 — сатпаева,2021,3.2,Компания,nan,nan
3,135.0,7,5,195000000,медеуский,nan,митина 4,2017,3.15,Хозяин недвижимости,совмещенный,nan
2,56.0,nan,nan,47000000,алмалинский,nan,сейфуллина 520 — шевченко,1978,3.0,Хозяин недвижимости,nan,nan
3,100.1,16,5,100000000,бостандыкский,мкр алмагуль,nan,2022,2.85,Специалист,2 с/у и более,евроремонт
5,285.4,4,4,265335000,медеуский,nan,омаровой 21,2006,3.0,Компания,2 с/у и более,nan
2,50.6,5,5,33000000,ауэзовский,мкр таугуль,nan,1991,2.5,Хозяин недвижимости,раздельный,требует ремонта
2,67.0,9,3,50000000,алмалинский,nan,богенбай батыра 279 — айманова,2011,3.0,Хозяин недвижимости,совмещенный,качественный ремонт
1,30.0,3,3,26500000,бостандыкский,nan,жандосова 17 — жарокова,1962,2.7,Хозяин недвижимости,совмещенный,свежий ремонт
2,80.0,7,4,81000000,бостандыкский,мкр мирас 157,nan,2009,3.0,Хозяин недвижимости,совмещенный,nan
2,49.0,14,9,67900000,бостандыкский,nan,розыбакиева 343 — ескараева,2023,3.0,Хозяин недвижимости,nan,nan
3,140.0,3,3,230000000,бостандыкский,nan,аскарова 55/1 к1,2020,3.2,Компания,2 с/у и более,nan
3,79.8,5,1,41000000,бостандыкский,мкр орбита-3 7,nan,1975,2.6,Крыша Агент,совмещенный,nan
3,88.0,16,14,75000000,алмалинский,nan,масанчи 23/11,2015,2.7,Хозяин недвижимости,совмещенный,nan
2,68.0,9,4,35000000,алатауский,мкр акбулак,nan,2013,2.7,Крыша Агент,раздельный,nan
