numrooms,sqauremeters,levels_on_building,level,price,distrcit,microdistrict,street,builtyear,ceilinghight,seller,bathroomtype,repaired
1,38.0,5,1,10900000,жетысуский,мкр кокжиек,nan,2013,2.8,Специалист,совмещенный,свежий ремонт
2,40.0,4,2,31500000,алмалинский,nan,досмухамедова 20 — гоголя,1961,2.8,Хозяин недвижимости,совмещенный,дргуой ремонт
3,60.0,5,1,54000000,алмалинский,nan,шевченко — жарокова,1980,3.0,Хозяин недвижимости,2 с/у и более,nan
3,68.7,5,1,37000000,медеуский,мкр алатау (ияф) 45,nan,1989,nan,Хозяин недвижимости,раздельный,nan
2,70.0,13,7,66000000,алмалинский,nan,гоголя,2016,3.0,Специалист,совмещенный,хороший ремонт
1,40.0,9,8,22000000,алатауский,мкр ожет,nan,2019,3.0,Специалист,совмещенный,nan
3,72.0,9,9,50000000,ауэзовский,мкр жетысу-2 — абая саина,nan,1992,2.8,Хозяин недвижимости,раздельный,nan
3,105.2,20,3,102000000,медеуский,nan,снегина,2016,3.1,Специалист,совмещенный,nan
1,47.0,9,5,20500000,алатауский,мкр аккент — аккент,nan,2023,2.6,Хозяин недвижимости,совмещенный,черновая отделка
3,55.5,5,1,32000000,бостандыкский,мкр орбита-1,nan,1976,2.8,Специалист,раздельный,nan
2,47.0,4,2,18500000,наурызбайский,мкр акжар,nan,2022,2.8,Хозяин недвижимости,раздельный,nan
2,55.0,5,4,25000000,наурызбайский,мкр калкаман-1,nan,1987,2.7,Специалист,раздельный,nan
2,47.5,10,10,33000000,медеуский,nan,тянь-шанская 9г,2023,2.8,Хозяин недвижимости,совмещенный,черновая отделка
2,72.0,10,3,32500000,наурызбайский,мкр шугыла,nan,2023,2.7,Хозяин недвижимости,совмещенный,евроремонт
1,46.0,3,1,21700000,наурызбайский,nan,береке 9,2023,2.7,Хозяин недвижимости,nan,nan
1,30.0,4,4,38000000,медеуский,nan,каныша сатпаева 2,1965,2.7,Хозяин недвижимости,совмещенный,nan
3,80.0,12,1,55000000,алатауский,мкр акбулак,nan,2019,2.7,Хозяин недвижимости,2 с/у и более,nan
1,32.0,10,3,19500000,наурызбайский,мкр шугыла,nan,2023,28.0,Хозяин недвижимости,раздельный,nan
2,60.0,12,6,89999999,медеуский,мкр самал-2 — бектурова,nan,1992,2.8,Специалист,nan,nan
4,136.5,17,16,205000000,бостандыкский,nan,сейфулина,2021,nan,Специалист,2 с/у и более,nan
1,20.0,nan,nan,6000000,nan,nan,центральная 49,1991,2.8,Специалист,nan,nan
3,65.5,5,5,47000000,бостандыкский,nan,розыбакиева 153а — басенова,1974,2.8,Хозяин недвижимости,раздельный,nan
2,52.0,5,5,37000000,алмалинский,nan,маметовой 29/41 — проспект абылай хана,1966,2.5,Хозяин недвижимости,раздельный,nan
3,81.0,9,1,33400000,наурызбайский,мкр шугыла,nan,2021,nan,Хозяин недвижимости,nan,дргуой ремонт
3,100.0,5,5,55000000,бостандыкский,nan,бабаева 35,1992,nan,Специалист,nan,nan
1,22.0,nan,nan,15000000,ауэзовский,мкр аксай-3 10а,nan,1988,2.8,Хозяин недвижимости,совмещенный,nan
1,47.4,4,3,24500000,алатауский,мкр зердели (алгабас-6) 1/13,nan,2013,2.7,Хозяин недвижимости,совмещенный,дргуой ремонт
2,45.0,5,3,33000000,бостандыкский,nan,кенесары хана 83/4,2016,2.7,Хозяин недвижимости,nan,nan
2,50.7,9,6,28000000,медеуский,nan,райымбек батыра 163 — возле астера,2024,2.7,Хозяин недвижимости,nan,nan
3,60.0,4,3,43000000,алмалинский,nan,толе би 226а — шашлычная shipudim,1963,nan,Хозяин недвижимости,совмещенный,nan
1,20.1,3,3,17000000,жетысуский,мкр. кокмайса 57б — микрорайон дорожник,nan,2020,2.7,Хозяин недвижимости,совмещенный,nan
3,90.0,14,10,102500000,медеуский,мкр самал-2 — назарбаева,nan,2015,2.8,Специалист,nan,nan
3,124.0,10,5,122000000,наурызбайский,nan,кенесары хана 54,2013,2.9,Хозяин недвижимости,2 с/у и более,дргуой ремонт
1,25.0,2,2,11200000,жетысуский,nan,жетысуская — макатаева,1960,nan,Компания,раздельный,nan
2,67.5,10,9,46500000,ауэзовский,nan,утеген батыра 17/3,2015,2.8,Специалист,2 с/у и более,nan
3,58.0,5,4,34350000,бостандыкский,мкр орбита-3,nan,1976,2.0,Специалист,раздельный,nan
4,161.7,nan,nan,130000000,бостандыкский,nan,13 34,2021,3.0,Хозяин недвижимости,nan,nan
6,210.0,7,6,190000000,медеуский,nan,аль-фараби — зейна шашкина,2007,nan,Специалист,nan,nan
1,9.0,2,1,5800000,наурызбайский,мкр шугыла — дала,nan,2017,2.0,Хозяин недвижимости,совмещенный,требует ремонта
2,65.0,5,4,42000000,алатауский,13-й микрорайон,nan,2020,2.7,Хозяин недвижимости,раздельный,nan
4,75.0,5,3,45800000,бостандыкский,nan,сатпаева — тургыт озал-сатпаева,1975,nan,Хозяин недвижимости,раздельный,дргуой ремонт
1,36.2,9,3,14800000,жетысуский,мкр кокжиек,nan,2024,2.7,Хозяин недвижимости,nan,nan
2,48.0,5,4,30500000,бостандыкский,мкр казахфильм 3,nan,1976,2.7,Компания,совмещенный,nan
1,40.0,9,6,27000000,ауэзовский,мкр тастак-1 — толе би уг.ул.фурката,nan,1986,2.7,Хозяин недвижимости,совмещенный,nan
2,70.0,7,7,50000000,алмалинский,nan,абая 139 — жарокова,1977,nan,Хозяин недвижимости,nan,nan
1,26.0,9,3,13200000,наурызбайский,мкр шугыла,nan,2023,2.8,Хозяин недвижимости,nan,черновая отделка
2,48.0,4,4,29500000,nan,nan,панфилова 26 — маметова,1969,2.8,Специалист,совмещенный,nan
3,63.0,5,5,34000000,алмалинский,nan,гагарина 12 — карасай батыра,1978,2.6,Специалист,совмещенный,nan
1,40.5,12,11,25000000,наурызбайский,nan,калкаман 5/1,2022,2.8,Хозяин недвижимости,nan,nan
2,51.0,16,9,45500000,медеуский,nan,назарбаева 34/1,2023,2.8,Хозяин недвижимости,nan,после ремонта
3,106.0,10,6,81744000,медеуский,nan,кабанбай батыра 15 — бегалина,2016,3.0,Компания,nan,nan
2,66.0,10,4,53628000,медеуский,nan,кабанбай батыра 15 — бегалина,2016,3.0,Компания,совмещенный,черновая отделка
2,48.0,5,4,31500000,бостандыкский,мкр казахфильм — аль-фараби жарокова,nan,1977,2.7,Хозяин недвижимости,совмещенный,требует ремонта
2,34.4,5,4,22000000,бостандыкский,nan,"жарокова — тимирязева ,район атакента",1984,2.7,Хозяин недвижимости,раздельный,nan
2,45.0,7,2,52000000,ауэзовский,мкр аксай-4 77/3 — сайна-улыкбека,nan,2023,3.0,Хозяин недвижимости,совмещенный,дргуой ремонт
2,47.3,15,2,33110000,алмалинский,nan,толе би 273а,2012,nan,Хозяин недвижимости,nan,дргуой ремонт
1,33.0,nan,7,13000000,наурызбайский,мкр шугыла 1 — абая - алатау,nan,2025,2.7,Хозяин недвижимости,nan,черновая отделка
1,39.9,5,4,23500000,алатауский,мкр саялы 74,nan,2015,2.8,Специалист,совмещенный,nan
2,59.5,9,8,34300000,ауэзовский,мкр аксай-5 4,nan,1998,2.85,Хозяин недвижимости,раздельный,nan
1,39.6,5,3,21500000,турксибский,мкр жас канат,nan,2017,2.9,Хозяин недвижимости,совмещенный,nan
2,55.0,3,3,25000000,жетысуский,мкр кемел (первомайское) 15 а — дулыга,nan,1980,3.0,Хозяин недвижимости,раздельный,хороший ремонт
4,168.0,11,8,120000000,ауэзовский,мкр жетысу-3 64,nan,2012,3.0,Хозяин недвижимости,2 с/у и более,nan
3,102.9,3,1,65000000,бостандыкский,мкр ерменсай,nan,2023,3.0,Специалист,nan,предчистовая отделка
2,48.0,20,3,55000000,бостандыкский,nan,гагарина 310,2023,3.0,Хозяин недвижимости,совмещенный,после ремонта
2,56.0,6,3,28000000,алатауский,мкр самгау,nan,2022,2.7,Хозяин недвижимости,nan,дргуой ремонт
2,60.1,12,3,41000000,ауэзовский,nan,садвакасова 35,2018,2.75,Специалист,совмещенный,nan
4,196.1,14,13,160000000,бостандыкский,мкр керемет 3 к2,nan,2004,2.7,Хозяин недвижимости,2 с/у и более,nan
2,51.4,3,2,26471000,наурызбайский,nan,жандосова 70а,2023,3.0,Хозяин недвижимости,nan,черновая отделка
3,115.0,18,8,115000000,бостандыкский,nan,навои 208 — торайгырова,2015,2.95,Хозяин недвижимости,раздельный,nan
3,89.0,9,4,62000000,ауэзовский,мкр аксай,nan,2019,2.7,Хозяин недвижимости,совмещенный,nan
3,60.7,5,1,29600000,алатауский,мкр коккайнар 61 — ниже автоцон.саялы2.,nan,2018,2.8,Хозяин недвижимости,раздельный,nan
2,50.0,5,5,30000000,алмалинский,мкр тастак-2 5,nan,1987,2.7,Хозяин недвижимости,nan,дргуой ремонт
1,27.0,3,1,25000000,бостандыкский,nan,айманова 208,1962,nan,Хозяин недвижимости,совмещенный,nan
2,69.0,9,4,40000000,турксибский,мкр жулдыз-1 19б,nan,2007,2.8,Хозяин недвижимости,раздельный,nan
1,31.0,10,7,20000000,наурызбайский,мкр шугыла,nan,2020,nan,Хозяин недвижимости,nan,дргуой ремонт
3,56.0,5,2,37000000,бостандыкский,мкр орбита-1 7,nan,1973,2.7,Хозяин недвижимости,совмещенный,nan
3,78.1,14,4,46800000,nan,nan,жандосова 94а,2023,2.7,Хозяин недвижимости,nan,nan
2,56.18,10,9,25556600,наурызбайский,nan,село абай 34,2023,2.7,Хозяин недвижимости,раздельный,nan
2,67.0,13,2,61670000,бостандыкский,nan,аль-фараби 97 — аль-фараби / ходжанова,2005,3.0,Хозяин недвижимости,раздельный,nan
2,48.4,16,14,34800000,бостандыкский,nan,жандосова 94а,2023,2.7,Хозяин недвижимости,совмещенный,nan
5,254.0,8,3,260000000,медеуский,nan,жамбыла,2002,3.2,Хозяин недвижимости,2 с/у и более,nan
1,43.5,5,3,24500000,алатауский,мкр саялы 104,nan,2018,2.7,Хозяин недвижимости,совмещенный,дргуой ремонт
1,56.18,10,7,18000000,наурызбайский,nan,алтын орда 34,2023,2.7,Хозяин недвижимости,nan,nan
3,115.8,6,5,128000000,бостандыкский,мкр ерменсай 25/1,nan,2019,3.0,Хозяин недвижимости,2 с/у и более,дизайнерский ремонт
2,62.0,9,8,33000000,медеуский,nan,талгарский тракт,2023,nan,Хозяин недвижимости,nan,nan
3,70.0,5,5,35000000,алмалинский,мкр тастак-3 50,nan,1982,nan,Хозяин недвижимости,раздельный,nan
2,51.0,4,4,37000000,бостандыкский,мкр коктем-2 8,nan,1972,2.5,Хозяин недвижимости,совмещенный,nan
2,62.5,5,4,35000000,алатауский,мкр саялы 37 — авто цон,nan,2015,2.7,Хозяин недвижимости,совмещенный,nan
2,71.3,10,9,31680000,наурызбайский,nan,алтын орда,2022,2.7,Хозяин недвижимости,nan,дргуой ремонт
2,44.0,5,3,33000000,ауэзовский,мкр №11 2,nan,1974,2.5,Хозяин недвижимости,совмещенный,nan
4,144.0,33,19,187000000,бостандыкский,nan,аль-фараби 9 — аль-фараби/козыбаева,2019,3.0,Хозяин недвижимости,2 с/у и более,дргуой ремонт
5,117.0,12,3,130000000,бостандыкский,nan,радостовца 158/1,2016,2.9,Хозяин недвижимости,2 с/у и более,nan
3,92.5,9,5,56900000,алатауский,мкр аккент,nan,2013,2.8,Хозяин недвижимости,2 с/у и более,nan
1,34.0,5,1,19500000,турксибский,nan,айша-биби 377д,1993,2.8,Хозяин недвижимости,nan,nan
2,86.0,15,14,55000000,бостандыкский,мкр орбита-3,nan,2007,2.8,Хозяин недвижимости,раздельный,nan
2,47.0,5,5,28000000,жетысуский,мкр айнабулак-3 156,nan,1989,nan,Хозяин недвижимости,раздельный,евроремонт
2,44.0,4,2,35000000,алмалинский,nan,ауэзова 64/1 — шевченко,1963,nan,Хозяин недвижимости,совмещенный,nan
3,95.3,12,7,85770000,алмалинский,nan,сейфуллина 533 — толе би,2023,3.0,Хозяин недвижимости,nan,черновая отделка
2,80.0,7,4,82000000,алмалинский,nan,улица толе би,1997,nan,Хозяин недвижимости,2 с/у и более,nan
3,68.4,5,5,40000000,жетысуский,мкр айнабулак-4 194,nan,1986,2.7,Хозяин недвижимости,раздельный,nan
2,45.0,3,1,26500000,турксибский,nan,монтажная,1963,nan,Хозяин недвижимости,совмещенный,nan
3,60.0,4,3,39000000,алмалинский,nan,панфилова 37 — райымбека панфилова,1966,2.5,Хозяин недвижимости,совмещенный,после ремонта
3,66.0,2,2,35000000,турксибский,мкр 13-й военный городок,nan,1977,nan,Хозяин недвижимости,раздельный,хороший ремонт
2,58.0,5,2,32500000,турксибский,мкр жас канат 1/44,nan,2016,2.8,Хозяин недвижимости,раздельный,nan
1,33.0,5,3,29500000,ауэзовский,мкр таугуль 35 — тохтабаева,nan,1986,2.8,Хозяин недвижимости,совмещенный,nan
1,54.0,5,1,90000000,бостандыкский,nan,аль-фараби 61 — шашкина,1990,nan,Хозяин недвижимости,nan,nan
2,39.8,4,1,26000000,бостандыкский,nan,айманова 222 — тимирязева,1962,nan,Хозяин недвижимости,совмещенный,nan
1,37.6,5,2,22000000,алатауский,мкр коккайнар 1/33 — абая көшесі,nan,2013,nan,Хозяин недвижимости,совмещенный,nan
4,141.0,18,7,125000000,бостандыкский,nan,навои — торайгырова,2015,2.95,Хозяин недвижимости,2 с/у и более,nan
3,76.0,9,7,42000000,наурызбайский,мкр шугыла,nan,2019,2.7,Хозяин недвижимости,2 с/у и более,nan
2,66.1,10,10,29500000,турксибский,nan,кульджинский тракт 153/3 — бухтарминская,2022,2.85,Хозяин недвижимости,2 с/у и более,предчистовая отделка
1,38.3,9,4,22000000,наурызбайский,мкр шугыла,nan,2021,2.7,Хозяин недвижимости,совмещенный,nan
6,165.0,6,5,130000000,бостандыкский,nan,аль-фараби 49 — маркова,1996,2.7,Хозяин недвижимости,2 с/у и более,nan
1,47.0,9,6,26500000,наурызбайский,мкр шугыла,nan,2023,2.7,Хозяин недвижимости,совмещенный,nan
1,40.1,6,6,17300000,наурызбайский,nan,жунисова,2022,2.7,Хозяин недвижимости,совмещенный,nan
4,120.0,9,9,74999997,медеуский,nan,бальзака 4 — маркова,1984,nan,Специалист,2 с/у и более,дргуой ремонт
2,43.0,4,3,35000000,бостандыкский,nan,жарокова — сатпаева,1976,2.8,Хозяин недвижимости,совмещенный,дргуой ремонт
3,115.0,6,4,81800000,бостандыкский,nan,басенова 27а,2003,3.0,Специалист,2 с/у и более,евроремонт
1,26.0,5,5,12000000,алатауский,мкр саялы 5 — автоцон,nan,2023,nan,Хозяин недвижимости,nan,nan
1,38.7,9,3,26500000,наурызбайский,мкр шугыла,nan,2023,2.6,Хозяин недвижимости,nan,nan
4,136.0,25,24,125000000,бостандыкский,nan,абиша кекилбайулы 38г,2014,2.8,Хозяин недвижимости,2 с/у и более,nan
2,72.86,4,2,50000000,турксибский,мкр кайрат,nan,2023,3.0,Хозяин недвижимости,совмещенный,nan
3,75.0,13,5,58000000,алмалинский,nan,толе би 189/3,2021,2.8,Хозяин недвижимости,раздельный,nan
2,138.7,10,9,64000000,алатауский,nan,райымбека 481 в,2013,2.8,Хозяин недвижимости,2 с/у и более,nan
2,43.0,5,5,33000000,алмалинский,nan,байтурсынова — макатаева,1975,nan,Хозяин недвижимости,совмещенный,nan
2,57.0,5,2,37500000,медеуский,мкр думан-2 14,nan,2020,2.7,Хозяин недвижимости,nan,nan
4,144.0,16,16,150000000,ауэзовский,nan,аскарова 4,2012,2.8,Специалист,2 с/у и более,nan
1,22.0,4,4,14000000,ауэзовский,мкр №3,nan,1965,2.5,Хозяин недвижимости,совмещенный,дргуой ремонт
1,46.0,5,3,22500000,турксибский,мкр жас канат 1/69,nan,2015,2.7,Хозяин недвижимости,совмещенный,nan
3,77.0,9,5,51000000,ауэзовский,мкр аксай-3б — яссауи,nan,1999,2.7,Хозяин недвижимости,раздельный,евроремонт
1,40.7,5,3,25500000,алатауский,мкр саялы 41,nan,2015,2.7,Хозяин недвижимости,совмещенный,nan
4,118.0,7,4,223000000,медеуский,мкр горный гигант 59 — назарбаева,nan,2017,3.3,Хозяин недвижимости,2 с/у и более,nan
3,82.9,9,8,35600000,медеуский,nan,талгарский тракт 6,2023,2.7,Хозяин недвижимости,2 с/у и более,nan
1,46.7,12,6,24900000,алатауский,nan,нуркент,2017,2.8,Хозяин недвижимости,совмещенный,евроремонт
2,40.0,3,2,36000000,бостандыкский,nan,манаса — бухар жырау,1965,nan,Хозяин недвижимости,nan,nan
2,57.0,6,1,25000000,алатауский,мкр мадениет 834/31,nan,2021,2.7,Хозяин недвижимости,совмещенный,nan
1,38.0,5,3,29000000,ауэзовский,мкр жетысу-1 — рядом с метро,nan,1990,2.8,Хозяин недвижимости,совмещенный,nan
2,63.0,6,6,25000000,жетысуский,мкр кокжиек,nan,2011,2.8,Хозяин недвижимости,раздельный,nan
3,108.0,3,3,87000000,медеуский,мкр аскартау,nan,2022,3.1,Хозяин недвижимости,nan,nan
1,45.0,5,5,29000000,жетысуский,мкр кулагер 64,nan,2005,2.8,Хозяин недвижимости,совмещенный,nan
4,100.0,9,2,79000000,алмалинский,мкр тастак-3 23 — райымбек розыбакиева,nan,1989,2.8,Хозяин недвижимости,совмещенный,nan
1,41.1,5,1,32000000,бостандыкский,nan,жарокова 167 — сатпаева,1969,2.7,Хозяин недвижимости,раздельный,nan
3,70.4,12,9,42500000,алатауский,мкр акбулак,nan,2020,2.75,Хозяин недвижимости,раздельный,дргуой ремонт
2,59.0,5,4,38000000,жетысуский,мкр айнабулак-4 174 — ресторан paradise,nan,1985,2.0,Хозяин недвижимости,раздельный,дргуой ремонт
3,75.0,12,6,41000000,алмалинский,nan,сейфулина 469а — маметова-сейфулина,2024,3.0,Хозяин недвижимости,nan,черновая отделка
2,45.2,5,5,31000000,ауэзовский,nan,саина 4/2,1974,nan,Хозяин недвижимости,совмещенный,nan
2,44.0,5,1,18000000,алатауский,мкр боралдай (бурундай),nan,1985,2.7,Хозяин недвижимости,nan,nan
2,47.47,9,6,23000000,наурызбайский,мкр шугыла,nan,2023,2.7,Хозяин недвижимости,nan,черновая отделка
1,45.1,12,3,27000000,алатауский,мкр акбулак,nan,2019,2.75,Хозяин недвижимости,раздельный,nan
2,75.0,18,4,61000000,алмалинский,nan,панфилова 101 — то что вы ищете!,1984,2.8,Хозяин недвижимости,nan,капитальный ремонт
3,64.0,4,1,55000000,бостандыкский,nan,бухар жирау 75 — жарокова,1971,2.5,Хозяин недвижимости,совмещенный,дргуой ремонт
2,64.0,10,10,50500000,бостандыкский,мкр керемет,nan,2021,3.0,Хозяин недвижимости,nan,черновая отделка
3,69.0,3,3,29000000,алатауский,мкр курылысшы,nan,1986,nan,Хозяин недвижимости,раздельный,nan
3,75.8,9,6,37500000,алатауский,мкр зердели (алгабас-6) 1/167,nan,2013,2.8,Хозяин недвижимости,раздельный,nan
2,59.0,12,8,40000000,алатауский,мкр акбулак мкр дарабоз — алматы арена,nan,2022,nan,Хозяин недвижимости,nan,nan
2,52.0,9,6,53000000,медеуский,мкр самал-1 — достык плаза,nan,1986,2.8,Хозяин недвижимости,совмещенный,nan
1,22.0,12,12,15800000,наурызбайский,мкр калкаман-1 4б,nan,2023,2.8,Хозяин недвижимости,nan,дргуой ремонт
3,101.0,3,2,120000000,медеуский,nan,жамакаева 252,2022,3.0,Специалист,nan,nan
3,85.0,10,9,60500000,ауэзовский,nan,толе би 285 — отеген батыра,2023,2.8,Хозяин недвижимости,nan,nan
1,21.0,4,3,14300000,ауэзовский,nan,жандосова 59/1 — юрия кима жандосова,1978,2.7,Хозяин недвижимости,nan,после ремонта
2,51.2,3,2,26000000,жетысуский,nan,рыскулова 35 — жансугурова,1985,2.7,Хозяин недвижимости,совмещенный,nan
3,75.0,5,5,58000000,алмалинский,nan,шевченко 123,1984,2.8,Хозяин недвижимости,2 с/у и более,капитальный ремонт
3,91.1,9,5,58000000,ауэзовский,мкр мамыр-7 14 а — момыш улы шаляпина,nan,2003,2.8,Специалист,раздельный,nan
2,64.66,13,11,47000000,бостандыкский,мкр алмагуль — жарокова,nan,2023,3.0,Хозяин недвижимости,nan,требует ремонта
2,47.0,9,2,29000000,алатауский,мкр акбулак,nan,2010,2.8,Хозяин недвижимости,nan,nan
2,70.0,9,1,46500000,ауэзовский,мкр таугуль 12/15 — ул.мустай карима (саина-жандосова),nan,2006,2.8,Хозяин недвижимости,совмещенный,nan
2,63.0,16,1,36000000,наурызбайский,nan,абишева 36/9 — по райымбека,2022,2.7,Хозяин недвижимости,совмещенный,nan
2,55.0,5,5,32000000,турксибский,мкр жулдыз-1 25,nan,1990,2.7,Хозяин недвижимости,раздельный,nan
3,58.0,4,3,35000000,ауэзовский,мкр №2 — алтынсарина- улугбека,nan,1961,2.5,Хозяин недвижимости,раздельный,nan
3,87.0,16,10,63000000,ауэзовский,мкр №1,nan,2010,2.7,Хозяин недвижимости,nan,nan
3,77.6,9,9,39000000,алатауский,мкр аккент,nan,2021,2.6,Хозяин недвижимости,совмещенный,nan
3,66.0,13,1,54000000,алмалинский,nan,макатаева 131 — муратбаева,2019,2.7,Хозяин недвижимости,совмещенный,nan
3,100.0,16,5,109000000,бостандыкский,мкр алмагуль,nan,2021,2.85,Хозяин недвижимости,nan,nan
1,50.0,nan,nan,40000000,ауэзовский,мкр мамыр-1 26/1,nan,2022,3.0,Хозяин недвижимости,nan,дргуой ремонт
2,45.6,12,10,25500000,алатауский,мкр акбулак,nan,2022,3.0,Хозяин недвижимости,совмещенный,хороший ремонт
1,43.0,5,4,21500000,алатауский,nan,момышулы 142/67,2023,2.7,Хозяин недвижимости,совмещенный,черновая отделка
1,11.0,4,4,9500000,ауэзовский,мкр таугуль-1 6/2 — ул. пятницкого,nan,1973,nan,Хозяин недвижимости,совмещенный,nan
1,41.7,16,2,32000000,ауэзовский,nan,мамыр-1 29 — трц sputnik mall,2015,3.2,Хозяин недвижимости,совмещенный,nan
4,98.0,13,6,115000000,алмалинский,nan,ади -шарипова — курмангазы,2021,3.0,Хозяин недвижимости,2 с/у и более,дргуой ремонт
3,58.0,4,3,38000000,бостандыкский,nan,жарокова 164,1961,2.7,Хозяин недвижимости,совмещенный,nan
1,13.5,5,2,15000000,ауэзовский,мкр №7 3 — москва,nan,1978,2.7,Хозяин недвижимости,раздельный,дргуой ремонт
1,18.0,5,2,10000000,турксибский,nan,сакен сейфуллин угтынышбаева — сейфуллина сауранбаева,1986,2.8,Хозяин недвижимости,раздельный,хороший ремонт
1,33.0,3,3,22800000,турксибский,nan,суюнбая 269,1976,nan,Хозяин недвижимости,совмещенный,nan
1,27.8,2,2,12500000,алатауский,мкр айгерим-1 73 — бенберина,nan,1971,2.7,Хозяин недвижимости,раздельный,nan
3,98.0,10,7,68000000,ауэзовский,мкр аксай-4,nan,2019,2.8,Хозяин недвижимости,раздельный,дргуой ремонт
2,50.0,10,2,35500000,алмалинский,nan,сейфуллина c — макатаева,2024,3.0,Хозяин недвижимости,nan,nan
3,66.0,5,5,39780000,бостандыкский,мкр орбита-3,nan,1976,2.7,Хозяин недвижимости,раздельный,nan
1,34.0,9,5,18000000,алатауский,nan,северное кольцо 92/2,2023,2.7,Хозяин недвижимости,nan,предчистовая отделка
3,66.0,9,1,54000000,бостандыкский,мкр орбита-3,nan,1982,2.8,Хозяин недвижимости,nan,nan
3,110.0,9,1,66000000,ауэзовский,мкр №10 а жандосова 59а — береговой,nan,2015,3.0,Хозяин недвижимости,2 с/у и более,nan
3,120.0,8,4,71500000,бостандыкский,nan,арайлы 12,2020,3.3,Хозяин недвижимости,2 с/у и более,черновая отделка
2,52.9,5,4,26000000,турксибский,мкр жулдыз-2,nan,1990,nan,Хозяин недвижимости,раздельный,nan
3,103.0,18,11,78000000,бостандыкский,nan,навои 208/7 — торайгырова,2021,2.95,Хозяин недвижимости,2 с/у и более,дргуой ремонт
3,79.5,3,2,51000000,бостандыкский,мкр ерменсай,nan,2020,3.3,Хозяин недвижимости,nan,черновая отделка
1,41.0,6,5,23000000,наурызбайский,мкр шугыла 8,nan,2022,nan,Хозяин недвижимости,совмещенный,nan
2,57.0,9,8,27000000,медеуский,nan,ул. райымбек батыр 273 — жк достар,2023,2.8,Хозяин недвижимости,раздельный,nan
3,82.6,5,2,32000000,алатауский,мкр алгабас,nan,2023,nan,Хозяин недвижимости,nan,черновая отделка
4,135.0,9,4,81000000,медеуский,мкр атырау,nan,2020,2.7,Хозяин недвижимости,2 с/у и более,nan
3,66.5,5,5,38000000,бостандыкский,мкр орбита-1 21,nan,1977,nan,Хозяин недвижимости,nan,дргуой ремонт
3,82.0,12,10,66600000,бостандыкский,nan,сатпаева — тлендиева,2018,2.8,Хозяин недвижимости,2 с/у и более,чистовая отделка
2,62.0,12,11,37000000,nan,nan,калкаман 4б — райымбека,2023,2.8,Хозяин недвижимости,совмещенный,качественный ремонт
2,51.58,12,9,22500000,nan,nan,кульджинский тракт д156/5,2023,2.8,Хозяин недвижимости,nan,nan
2,48.0,3,2,31700000,жетысуский,nan,пр. рыскулова 35 — жансугурова,1983,2.8,Хозяин недвижимости,nan,после ремонта
2,56.0,9,7,35000000,алмалинский,nan,розыбакиева 45 — толе би,1989,2.8,Хозяин недвижимости,раздельный,nan
3,90.3,16,6,67000000,бостандыкский,nan,абая 150/230,2009,3.0,Хозяин недвижимости,совмещенный,nan
2,59.0,5,5,42000000,медеуский,nan,тулебаева 19,1990,2.8,Хозяин недвижимости,раздельный,nan
2,58.0,9,5,48000000,алмалинский,мкр тастак-2,nan,2015,nan,Хозяин недвижимости,раздельный,nan
2,56.0,6,2,27000000,наурызбайский,nan,жунисова 10,2019,nan,Хозяин недвижимости,раздельный,nan
2,55.6,18,9,38000000,бостандыкский,nan,абая 164 — брусиловского,2022,3.0,Хозяин недвижимости,nan,nan
2,60.0,10,10,32000000,турксибский,nan,сейфуллина — возле 13 дома,2021,2.7,Хозяин недвижимости,совмещенный,после ремонта
3,75.0,nan,nan,42500000,алатауский,мкр карасу,nan,2017,nan,Хозяин недвижимости,2 с/у и более,nan
1,35.0,4,2,35000000,наурызбайский,мкр таусамалы,nan,1985,2.8,Хозяин недвижимости,совмещенный,nan
1,17.0,5,3,15000000,бостандыкский,nan,жарокова 217а — уг.ул.тимирязева,1984,2.7,Хозяин недвижимости,совмещенный,после ремонта
3,77.0,5,5,38000000,жетысуский,мкр кулагер,nan,2008,42.0,Хозяин недвижимости,раздельный,nan
2,60.0,5,5,32000000,турксибский,мкр жулдыз-1 26 а,nan,2007,2.8,Хозяин недвижимости,раздельный,капитальный ремонт
2,64.0,12,12,44000000,алмалинский,nan,проспект абая 155,1993,2.8,Хозяин недвижимости,nan,nan
3,90.3,5,4,90000000,медеуский,nan,пр.жибек жолы 33 — уг.ул.братьев абдуллиных,1991,2.7,Хозяин недвижимости,раздельный,nan
3,59.6,4,3,31900000,ауэзовский,мкр №10 а,nan,1967,2.5,Хозяин недвижимости,nan,nan
3,74.0,19,18,39000000,алмалинский,nan,брусиловского 167,2014,2.8,Хозяин недвижимости,2 с/у и более,nan
2,61.0,nan,nan,26000000,турксибский,nan,сейфуллина 57а,1980,nan,Хозяин недвижимости,совмещенный,nan
4,74.0,5,5,50000000,бостандыкский,мкр алмагуль,nan,1974,2.8,Хозяин недвижимости,совмещенный,nan
3,70.0,8,7,63999000,алмалинский,nan,толе би 156 — ул айтиева (ауэзова),1982,2.8,Хозяин недвижимости,раздельный,nan
2,62.0,14,9,60000000,ауэзовский,nan,навои 66 — жандосова,2012,3.0,Хозяин недвижимости,совмещенный,nan
2,50.0,9,2,26000000,nan,nan,талгарский тракт,2023,2.7,Хозяин недвижимости,nan,черновая отделка
