numrooms,sqauremeters,level,price,distrcit,builtyear,ceilinghight,seller,bathroomtype,repaired
3,98.26,4,38000000,Наурызбайский,2022,2.7,Хозяин недвижимости,санузел совмещенный,0
2,46.0,1,26000000,Ауэзовский,1968,2.7,Хозяин недвижимости,санузел совмещенный,1
2,57.0,2,39000000,Алатауский,2019,2.7,Хозяин недвижимости,санузел раздельный,1
1,64.0,9,28000000,Наурызбайский,2012,2.8,Хозяин недвижимости,санузел совмещенный,0
3,78.0,13,57400000,Жетысуский,2022,2.75,Хозяин недвижимости,санузел совмещенный,0
4,94.0,4,67400000,Бостандыкский,1964,2.8,Специалист,санузел раздельный,0
3,75.0,11,83900000,Розыбакиева,2022,3.0,Специалист,санузел раздельный,1
2,49.2,2,55000000,Медеуский,1973,2.9,Хозяин недвижимости,санузел раздельный,0
3,91.0,8,85000000,Ауэзовский,2022,3.15,Хозяин недвижимости,санузел совмещенный,1
2,49.0,3,39500000,Бостандыкский,1972,2.0,Хозяин недвижимости,санузел совмещенный,1
3,87.0,7,63500000,Алмалинский,2019,2.7,Хозяин недвижимости,санузел 2 с/у и более,1
1,31.0,6,26000000,Бостандыкский,2023,3.3,Хозяин недвижимости,санузел совмещенный,0
2,44.0,3,26000000,Ауэзовский,1973,2.8,Специалист,санузел совмещенный,0
2,90.1,3,75000000,Алмалинский,2010,3.0,Хозяин недвижимости,санузел раздельный,0
1,39.0,7,29000000,Бостандыкский,2019,2.95,Специалист,санузел совмещенный,0
3,91.7,8,61500000,Ауэзовский,2023,2.7,Хозяин недвижимости,санузел раздельный,0
3,70.0,10,66500000,Бостандыкский,2019,2.85,Специалист,санузел совмещенный,0
2,47.0,7,42000000,Алмалинский,2023,2.9,Хозяин недвижимости,санузел совмещенный,1
1,45.0,8,28000000,Алатауский,2021,3.0,Хозяин недвижимости,санузел совмещенный,0
3,73.2,7,45000000,Ауэзовский,2006,2.8,Хозяин недвижимости,санузел раздельный,0
3,86.0,4,35000000,Турксибский,1992,2.7,Крыша Агент,санузел раздельный,-1
3,113.0,12,125000000,Бостандыкский,2023,3.3,Специалист,санузел 2 с/у и более,0
3,122.9,2,121000000,Медеуский,2015,3.8,Специалист,санузел 2 с/у и более,1
2,54.0,4,35000000,Алмалинский,1978,2.9,Компания,санузел совмещенный,0
1,43.0,3,25000000,Турксибский,2021,2.7,Специалист,санузел совмещенный,0
3,82.6,14,54500000,Бостандыкский,2019,2.85,Специалист,санузел совмещенный,-1
3,75.0,5,57000000,Бостандыкский,1993,2.8,Специалист,санузел раздельный,0
1,48.4,5,43560000,Бостандыкский,2021,3.0,Компания,санузел совмещенный,0
1,42.0,5,20500000,Ауэзовский,1991,2.9,Специалист,санузел совмещенный,0
